| RaterId | Image | Department                | NAttractiveness | gender | age    |
|      19 |    14 | Registrar                 |      -1.0000000 | -0.270 | 43.000 |
|      19 |    15 | Sociology                 |      -0.0526316 | -0.680 | 29.000 |
|     120 |     1 | Art                       |      -0.2941176 | -1.000 | 24.000 |
|     120 |     2 | Athletics                 |       0.4117647 | -0.550 | 25.000 |
|     120 |     3 | Chancellor's Office       |       0.7647059 |  0.330 | 22.000 |
|     120 |     4 | Computer Science          |      -0.2941176 | -0.900 | 34.000 |
|     120 |     5 | Economics                 |       1.0000000 | -1.000 | 42.000 |
|     120 |     6 | Finance                   |      -0.0588235 |  0.930 | 26.000 |
|     120 |     7 | History                   |       0.7647059 |  0.000 | 40.000 |
|     120 |     8 | Human Resources           |       1.0000000 |  0.970 | 31.000 |
|     120 |     9 | Language & Literature     |      -0.1764706 | -0.590 | 29.000 |
|     120 |    10 | Mathematics               |       0.8823529 | -1.000 | 33.000 |
|     120 |    11 | New Media                 |      -1.0000000 |  0.720 | 34.000 |
|     120 |    12 | Physics                   |       0.4117647 | -0.670 | 28.000 |
|     120 |    13 | Provost Office            |       0.4117647 |  0.410 | 36.000 |
|     120 |    14 | Registrar                 |      -0.6470588 |  0.000 | 35.000 |
|     120 |    15 | Sociology                 |      -0.1764706 |  0.000 | 27.000 |
|     145 |     1 | Art                       |       0.3333333 | -1.000 | 31.000 |
|     145 |     2 | Athletics                 |       1.0000000 | -1.000 | 33.000 |
|     145 |     3 | Chancellor's Office       |       1.0000000 |  1.000 | 29.000 |
|     145 |     4 | Computer Science          |       0.3333333 | -1.000 | 40.000 |
|     145 |     5 | Economics                 |       0.0000000 | -1.000 | 44.000 |
|     145 |     6 | Finance                   |       0.0000000 | -1.000 | 26.000 |
|     145 |     7 | History                   |       0.3333333 | -1.000 | 36.000 |
|     145 |     8 | Human Resources           |       1.0000000 |  1.000 | 27.000 |
|     145 |     9 | Language & Literature     |       0.6666667 | -1.000 | 31.000 |
|     145 |    10 | Mathematics               |       0.3333333 | -1.000 | 31.000 |
|     145 |    11 | New Media                 |       1.0000000 |  1.000 | 36.000 |
|     145 |    12 | Physics                   |       0.3333333 | -1.000 | 29.000 |
|     145 |    13 | Provost Office            |      -1.0000000 |  0.000 | 31.000 |
|     145 |    14 | Registrar                 |      -1.0000000 | -1.000 | 37.000 |
|     145 |    15 | Sociology                 |       0.0000000 | -1.000 | 23.000 |
|     201 |     1 | Art                       |      -1.0000000 | -1.000 | 26.000 |
|     201 |     2 | Athletics                 |      -0.3684211 | -0.550 | 26.000 |
|     201 |     3 | Chancellor's Office       |       0.0526316 |  0.480 | 24.000 |
|     201 |     4 | Computer Science          |       0.0526316 | -1.000 | 41.000 |
|     201 |     5 | Economics                 |       0.0526316 | -1.000 | 34.000 |
|     201 |     6 | Finance                   |       0.3684211 |  1.000 | 26.000 |
|     201 |     7 | History                   |       0.0526316 | -0.510 | 27.000 |
|     201 |     8 | Human Resources           |       1.0000000 |  1.000 | 33.000 |
|     201 |     9 | Language & Literature     |       0.0526316 | -0.390 | 37.000 |
|     201 |    10 | Mathematics               |       0.0526316 | -1.000 | 25.000 |
|     201 |    11 | New Media                 |       0.6842105 |  0.810 | 32.000 |
|     201 |    12 | Physics                   |       0.0526316 | -1.000 | 41.000 |
|     201 |    13 | Provost Office            |      -1.0000000 | -0.370 | 50.000 |
|     201 |    14 | Registrar                 |       0.0526316 | -0.420 | 45.000 |
|     201 |    15 | Sociology                 |      -0.0526316 |  0.250 | 29.000 |
|       2 |     1 | Art                       |      -0.2500000 | -0.880 | 26.000 |
|       2 |     2 | Athletics                 |      -0.6666667 | -0.390 | 36.000 |
|       2 |     3 | Chancellor's Office       |      -0.2500000 |  0.690 | 32.000 |
|       2 |     4 | Computer Science          |      -0.2500000 | -0.980 | 52.000 |
|       2 |     5 | Economics                 |      -1.0000000 | -0.980 | 45.000 |
|       2 |     6 | Finance                   |      -0.0833333 |  1.000 | 26.000 |
|       2 |     7 | History                   |      -0.5833333 | -0.920 | 38.000 |
|       2 |     8 | Human Resources           |       0.4166667 |  0.970 | 48.000 |
|       2 |     9 | Language & Literature     |       1.0000000 | -0.980 | 37.000 |
|       2 |    10 | Mathematics               |       0.6666667 | -0.990 | 29.000 |
|       2 |    11 | New Media                 |       1.0000000 |  1.000 | 35.000 |
|       2 |    12 | Physics                   |      -0.2500000 | -0.990 | 32.000 |
|       2 |    13 | Provost Office            |      -0.5000000 |  0.570 | 38.000 |
|       2 |    14 | Registrar                 |      -0.8333333 | -0.980 | 46.000 |
|       2 |    15 | Sociology                 |      -0.9166667 | -0.950 | 30.000 |
|      40 |     1 | Art                       |      -0.2941176 | -0.990 | 30.000 |
|      40 |     2 | Athletics                 |       0.2941176 | -1.000 | 30.000 |
|      40 |     3 | Chancellor's Office       |       0.7647059 |  0.540 | 30.000 |
|      40 |     4 | Computer Science          |      -0.5294118 | -1.000 | 41.000 |
|      40 |     5 | Economics                 |       0.8823529 | -1.000 | 45.000 |
|      40 |     6 | Finance                   |       0.2941176 |  1.000 | 35.000 |
|      40 |     7 | History                   |      -0.5294118 | -1.000 | 35.000 |
|      40 |     8 | Human Resources           |       0.8823529 |  0.530 | 28.000 |
|      40 |     9 | Language & Literature     |      -0.4117647 | -1.000 | 28.000 |
|      40 |    10 | Mathematics               |      -0.7647059 | -1.000 | 31.000 |
|      40 |    11 | New Media                 |       1.0000000 | -0.200 | 36.000 |
|      40 |    12 | Physics                   |      -0.7647059 | -1.000 | 37.000 |
|      40 |    13 | Provost Office            |      -0.6470588 | -1.000 | 33.000 |
|      40 |    14 | Registrar                 |      -1.0000000 | -0.890 | 38.000 |
|      40 |    15 | Sociology                 |      -0.5294118 | -0.940 | 31.000 |
|      41 |     1 | Art                       |       0.0000000 | -0.580 | 33.000 |
|      41 |     2 | Athletics                 |       0.0000000 |  0.210 | 35.000 |
|      41 |     3 | Chancellor's Office       |       0.0000000 |  0.000 | 36.000 |
|      41 |     4 | Computer Science          |       0.0000000 |  0.000 | 52.000 |
|      41 |     5 | Economics                 |       0.0000000 |  0.000 | 52.000 |
|      41 |     6 | Finance                   |       0.0000000 |  0.000 | 52.000 |
|      41 |     7 | History                   |       0.0000000 |  0.000 | 52.000 |
|      41 |     8 | Human Resources           |       0.0000000 |  0.000 | 52.000 |
|      41 |     9 | Language & Literature     |       0.0000000 |  0.000 | 52.000 |
|      41 |    10 | Mathematics               |       0.0000000 |  0.000 | 52.000 |
|      41 |    11 | New Media                 |       0.0000000 |  0.000 | 52.000 |
|      41 |    12 | Physics                   |       0.0000000 |  0.000 | 52.000 |
|      41 |    13 | Provost Office            |       0.0000000 |  0.000 | 52.000 |
|      41 |    14 | Registrar                 |       0.0000000 |  0.000 | 52.000 |
|      41 |    15 | Sociology                 |       0.0000000 | -0.560 | 31.000 |
|      47 |     1 | Art                       |       0.1200000 | -1.000 | 26.000 |
|      47 |     2 | Athletics                 |      -0.0400000 | -1.000 | 21.000 |
|      47 |     3 | Chancellor's Office       |       0.7600000 |  0.250 | 36.000 |
|      47 |     4 | Computer Science          |      -0.6000000 | -1.000 | 54.000 |
|      47 |     5 | Economics                 |      -0.2800000 | -0.680 | 52.000 |
|      47 |     6 | Finance                   |      -0.0400000 |  1.000 | 52.000 |
|      47 |     7 | History                   |       0.2800000 |  0.000 | 44.000 |
|      47 |     8 | Human Resources           |       0.2000000 |  0.060 | 55.000 |
|      47 |     9 | Language & Literature     |       0.3600000 | -0.220 | 35.000 |
|      47 |    10 | Mathematics               |       0.7600000 | -1.000 | 38.000 |
|      47 |    11 | New Media                 |       0.2800000 |  0.390 | 50.000 |
|      47 |    12 | Physics                   |       1.0000000 | -0.970 | 49.000 |
|      47 |    13 | Provost Office            |       0.1200000 |  0.100 | 55.000 |
|      47 |    14 | Registrar                 |      -1.0000000 | -0.960 | 59.000 |
|      47 |    15 | Sociology                 |      -0.1200000 |  0.000 | 52.000 |
|      49 |     1 | Art                       |       0.0909091 | -0.950 | 24.000 |
|      49 |     2 | Athletics                 |       0.0909091 | -0.770 | 22.000 |
|      49 |     3 | Chancellor's Office       |       0.2727273 |  0.310 | 28.000 |
|      49 |     4 | Computer Science          |      -0.4545455 | -0.970 | 27.000 |
|      49 |     5 | Economics                 |      -0.2727273 | -0.850 | 27.000 |
|      49 |     6 | Finance                   |       0.8181818 |  0.380 | 25.000 |
|      49 |     7 | History                   |      -1.0000000 | -0.540 | 26.000 |
|      49 |     8 | Human Resources           |       0.6363636 |  0.430 | 33.000 |
|      49 |     9 | Language & Literature     |      -0.4545455 | -0.820 | 29.000 |
|      49 |    10 | Mathematics               |      -0.8181818 | -0.360 | 37.000 |
|      49 |    11 | New Media                 |       0.8181818 |  0.340 | 33.000 |
|      49 |    12 | Physics                   |      -0.4545455 | -0.470 | 35.000 |
|      49 |    13 | Provost Office            |      -0.6363636 | -0.440 | 31.000 |
|      49 |    14 | Registrar                 |       1.0000000 |  0.470 | 30.000 |
|      49 |    15 | Sociology                 |       0.0909091 |  0.000 | 30.000 |
|      90 |     1 | Art                       |       1.0000000 | -1.000 | 30.000 |
|      90 |     2 | Athletics                 |      -0.4285714 |  0.000 | 38.000 |
|      90 |     3 | Chancellor's Office       |      -0.4285714 |  0.120 | 35.000 |
|      90 |     4 | Computer Science          |      -0.4285714 | -0.560 | 45.000 |
|      90 |     5 | Economics                 |       0.7142857 | -0.320 | 44.000 |
|      90 |     6 | Finance                   |      -0.4285714 |  0.300 | 39.000 |
|      90 |     7 | History                   |      -0.4285714 | -0.640 | 31.000 |
|      90 |     8 | Human Resources           |       0.0000000 |  0.240 | 24.000 |
|      90 |     9 | Language & Literature     |      -0.4285714 | -0.400 | 24.000 |
|      90 |    10 | Mathematics               |      -0.4285714 | -0.610 | 24.000 |
|      90 |    11 | New Media                 |      -0.4285714 |  0.770 | 47.000 |
|      90 |    12 | Physics                   |      -0.4285714 | -0.470 | 31.000 |
|      90 |    13 | Provost Office            |      -0.4285714 | -0.460 | 23.000 |
|      90 |    14 | Registrar                 |      -1.0000000 |  0.000 | 29.000 |
|      90 |    15 | Sociology                 |      -0.4285714 | -0.420 | 24.000 |
|     121 |     1 | Art                       |       0.9230769 | -1.000 | 24.000 |
|     121 |     2 | Athletics                 |      -0.1538462 | -0.970 | 26.000 |
|     121 |     3 | Chancellor's Office       |       0.6153846 |  0.480 | 26.000 |
|     121 |     4 | Computer Science          |       0.5384615 | -0.970 | 34.000 |
|     121 |     5 | Economics                 |      -0.1538462 | -0.990 | 43.000 |
|     121 |     6 | Finance                   |       0.3076923 |  0.700 | 30.000 |
|     121 |     7 | History                   |      -0.7692308 | -0.740 | 46.000 |
|     121 |     8 | Human Resources           |       1.0000000 |  0.970 | 28.000 |
|     121 |     9 | Language & Literature     |      -0.4615385 | -0.990 | 29.000 |
|     121 |    10 | Mathematics               |      -1.0000000 | -0.980 | 35.000 |
|     121 |    11 | New Media                 |      -0.5384615 |  0.950 | 34.000 |
|     121 |    12 | Physics                   |      -0.1538462 | -0.990 | 37.000 |
|     121 |    13 | Provost Office            |      -0.3846154 |  0.590 | 35.000 |
|     121 |    14 | Registrar                 |      -0.6153846 | -0.080 | 42.000 |
|     121 |    15 | Sociology                 |       0.4615385 | -0.650 | 42.000 |
|     147 |     1 | Art                       |       0.5384615 | -0.980 | 31.000 |
|     147 |     2 | Athletics                 |      -0.2307692 | -0.970 | 31.000 |
|     147 |     3 | Chancellor's Office       |      -0.2307692 |  0.600 | 28.000 |
|     147 |     4 | Computer Science          |      -1.0000000 | -0.980 | 40.000 |
|     147 |     5 | Economics                 |      -1.0000000 | -0.990 | 45.000 |
|     147 |     6 | Finance                   |      -0.5384615 | -0.010 | 42.000 |
|     147 |     7 | History                   |      -0.2307692 | -0.130 | 46.000 |
|     147 |     8 | Human Resources           |      -0.6923077 |  0.980 | 48.000 |
|     147 |     9 | Language & Literature     |      -0.3846154 | -0.970 | 38.000 |
|     147 |    10 | Mathematics               |      -0.6923077 | -0.980 | 46.000 |
|     147 |    11 | New Media                 |       0.5384615 |  1.000 | 52.000 |
|     147 |    12 | Physics                   |      -1.0000000 | -0.990 | 42.000 |
|     147 |    13 | Provost Office            |      -0.2307692 | -0.990 | 30.000 |
|     147 |    14 | Registrar                 |       1.0000000 | -0.980 | 48.000 |
|     147 |    15 | Sociology                 |       0.5384615 | -0.970 | 42.000 |
|     149 |     1 | Art                       |      -0.7000000 | -0.660 | 38.000 |
|     149 |     2 | Athletics                 |       0.5000000 |  0.000 | 43.000 |
|     149 |     3 | Chancellor's Office       |       1.0000000 |  0.410 | 44.000 |
|     149 |     4 | Computer Science          |      -0.2000000 | -0.590 | 31.000 |
|     149 |     5 | Economics                 |      -0.9000000 | -0.900 | 63.000 |
|     149 |     6 | Finance                   |       0.8000000 |  0.810 | 41.000 |
|     149 |     7 | History                   |      -1.0000000 | -0.360 | 52.000 |
|     149 |     8 | Human Resources           |       0.8000000 |  0.880 | 52.000 |
|     149 |     9 | Language & Literature     |      -0.2000000 | -0.610 | 39.000 |
|     149 |    10 | Mathematics               |      -1.0000000 | -0.840 | 41.000 |
|     149 |    11 | New Media                 |       1.0000000 |  0.970 | 37.000 |
|     149 |    12 | Physics                   |      -0.5000000 | -0.860 | 33.000 |
|     149 |    13 | Provost Office            |      -0.2000000 |  0.000 | 39.000 |
|     149 |    14 | Registrar                 |      -0.8000000 | -0.930 | 56.000 |
|     149 |    15 | Sociology                 |       0.5000000 | -0.490 | 47.000 |
|     195 |     1 | Art                       |       0.4285714 | -0.940 | 32.000 |
|     195 |     2 | Athletics                 |       0.4285714 | -1.000 | 31.000 |
|     195 |     3 | Chancellor's Office       |       0.4285714 | -0.770 | 31.000 |
|     195 |     4 | Computer Science          |       0.4285714 | -0.900 | 37.000 |
|     195 |     5 | Economics                 |       0.4285714 | -0.920 | 34.000 |
|     195 |     6 | Finance                   |       1.0000000 |  0.680 | 29.000 |
|     195 |     7 | History                   |       0.4285714 | -0.970 | 29.000 |
|     195 |     8 | Human Resources           |       0.0000000 | -0.140 | 30.000 |
|     195 |     9 | Language & Literature     |       0.8571429 | -1.000 | 31.000 |
|     195 |    10 | Mathematics               |       0.0000000 | -0.910 | 40.000 |
|     195 |    11 | New Media                 |       0.4285714 |  0.000 | 24.000 |
|     195 |    12 | Physics                   |       0.8571429 | -0.930 | 30.000 |
|     195 |    13 | Provost Office            |       0.7142857 |  0.150 | 23.000 |
|     195 |    14 | Registrar                 |      -1.0000000 | -0.910 | 40.000 |
|     195 |    15 | Sociology                 |       1.0000000 | -0.830 | 27.000 |
|     206 |     1 | Art                       |       0.7500000 | -1.000 | 30.000 |
|     206 |     2 | Athletics                 |       0.7500000 | -1.000 | 30.000 |
|     206 |     3 | Chancellor's Office       |       1.0000000 |  0.380 | 25.000 |
|     206 |     4 | Computer Science          |      -0.2500000 | -1.000 | 41.000 |
|     206 |     5 | Economics                 |       0.0000000 | -1.000 | 40.000 |
|     206 |     6 | Finance                   |       0.8750000 |  0.000 | 27.000 |
|     206 |     7 | History                   |       0.2500000 | -0.660 | 42.000 |
|     206 |     8 | Human Resources           |       0.8750000 |  1.000 | 42.000 |
|     206 |     9 | Language & Literature     |       0.0000000 | -1.000 | 30.000 |
|     206 |    10 | Mathematics               |      -1.0000000 | -1.000 | 45.000 |
|     206 |    11 | New Media                 |      -0.5000000 |  0.500 | 36.000 |
|     206 |    12 | Physics                   |       0.3750000 | -1.000 | 40.000 |
|     206 |    13 | Provost Office            |       0.1250000 |  1.000 | 35.000 |
|     206 |    14 | Registrar                 |       0.8750000 | -0.170 | 25.000 |
|     206 |    15 | Sociology                 |       0.3750000 |  0.200 | 30.000 |
|     209 |     1 | Art                       |      -0.0370370 | -1.000 | 40.000 |
|     209 |     2 | Athletics                 |       0.0370370 | -1.000 | 33.000 |
|     209 |     3 | Chancellor's Office       |      -0.4814815 | -1.000 | 35.000 |
|     209 |     4 | Computer Science          |      -0.2592593 | -1.000 | 38.000 |
|     209 |     5 | Economics                 |      -0.0370370 | -1.000 | 46.000 |
|     209 |     6 | Finance                   |      -0.1851852 |  0.300 | 37.000 |
|     209 |     7 | History                   |      -0.4814815 | -1.000 | 38.000 |
|     209 |     8 | Human Resources           |       0.7037037 |  0.330 | 40.000 |
|     209 |     9 | Language & Literature     |       0.1111111 | -1.000 | 33.000 |
|     209 |    10 | Mathematics               |       0.9259259 | -0.720 | 40.000 |
|     209 |    11 | New Media                 |       1.0000000 |  0.270 | 34.000 |
|     209 |    12 | Physics                   |      -0.4074074 | -1.000 | 38.000 |
|     209 |    13 | Provost Office            |       0.8518519 |  0.440 | 39.000 |
|     209 |    14 | Registrar                 |      -1.0000000 |  1.000 | 36.000 |
|     209 |    15 | Sociology                 |      -0.5555556 | -1.000 | 37.000 |
|     213 |     1 | Art                       |      -0.6000000 | -1.000 | 19.000 |
|     213 |     2 | Athletics                 |      -0.2000000 | -1.000 | 27.000 |
|     213 |     3 | Chancellor's Office       |      -0.6000000 | -1.000 | 26.000 |
|     213 |     4 | Computer Science          |       0.2000000 | -1.000 | 30.000 |
|     213 |     5 | Economics                 |      -0.2000000 | -1.000 | 35.000 |
|     213 |     6 | Finance                   |      -0.6000000 | -0.990 | 25.000 |
|     213 |     7 | History                   |      -0.6000000 | -1.000 | 34.000 |
|     213 |     8 | Human Resources           |      -0.6000000 | -0.010 | 25.000 |
|     213 |     9 | Language & Literature     |       1.0000000 | -0.990 | 30.000 |
|     213 |    10 | Mathematics               |       1.0000000 | -1.000 | 21.000 |
|     213 |    11 | New Media                 |      -1.0000000 | -1.000 | 27.000 |
|     213 |    12 | Physics                   |       0.6000000 | -1.000 | 27.000 |
|     213 |    13 | Provost Office            |       0.6000000 | -1.000 | 22.000 |
|     213 |    14 | Registrar                 |      -0.2000000 | -0.990 | 35.000 |
|     213 |    15 | Sociology                 |       0.2000000 | -0.980 | 20.000 |
|     222 |     1 | Art                       |       0.0000000 | -0.450 | 24.000 |
|     222 |     2 | Athletics                 |       0.0000000 | -0.090 | 28.000 |
|     222 |     3 | Chancellor's Office       |       0.0000000 |  0.610 | 23.000 |
|     222 |     4 | Computer Science          |       0.0000000 | -0.810 | 28.000 |
|     222 |     5 | Economics                 |       0.0000000 | -0.870 | 35.000 |
|     222 |     6 | Finance                   |       0.0000000 |  0.900 | 22.000 |
|     222 |     7 | History                   |       0.0000000 | -0.160 | 33.000 |
|     222 |     8 | Human Resources           |       0.0000000 |  0.860 | 36.000 |
|     222 |     9 | Language & Literature     |       0.0000000 | -0.140 | 23.000 |
|     222 |    10 | Mathematics               |       0.0000000 | -0.760 | 27.000 |
|     222 |    11 | New Media                 |       0.0000000 |  0.870 | 35.000 |
|     222 |    12 | Physics                   |       0.0000000 | -0.730 | 35.000 |
|     222 |    13 | Provost Office            |       0.0000000 |  0.750 | 28.000 |
|     222 |    14 | Registrar                 |       0.0000000 | -0.060 | 37.000 |
|     222 |    15 | Sociology                 |       0.0000000 | -0.030 | 20.000 |
|     230 |     1 | Art                       |       1.0000000 | -1.000 | 27.000 |
|     230 |     2 | Athletics                 |       0.6800000 | -1.000 | 24.000 |
|     230 |     3 | Chancellor's Office       |      -0.0400000 |  0.100 | 28.000 |
|     230 |     4 | Computer Science          |       0.2000000 |  0.080 | 35.000 |
|     230 |     5 | Economics                 |       0.2000000 | -1.000 | 36.000 |
|     230 |     6 | Finance                   |       0.0400000 |  0.130 | 20.000 |
|     230 |     7 | History                   |       0.2000000 | -0.770 | 37.000 |
|     230 |     8 | Human Resources           |       0.6000000 |  0.000 | 16.000 |
|     230 |     9 | Language & Literature     |       0.9200000 | -0.450 | 38.000 |
|     230 |    10 | Mathematics               |      -0.3600000 | -0.850 | 30.000 |
|     230 |    11 | New Media                 |       0.5200000 |  0.110 | 38.000 |
|     230 |    12 | Physics                   |       0.0400000 | -0.980 | 40.000 |
|     230 |    13 | Provost Office            |      -0.6800000 | -0.190 | 41.000 |
|     230 |    14 | Registrar                 |      -1.0000000 | -0.430 | 48.000 |
|     230 |    15 | Sociology                 |      -0.0400000 | -0.200 | 16.000 |
|      14 |     1 | Art                       |      -0.4285714 | -0.330 | 34.000 |
|      14 |     2 | Athletics                 |      -0.2857143 | -0.140 | 37.000 |
|      14 |     3 | Chancellor's Office       |       0.8571429 |  0.510 | 33.000 |
|      14 |     4 | Computer Science          |      -0.1428571 | -0.080 | 40.000 |
|      14 |     5 | Economics                 |      -1.0000000 | -0.330 | 35.000 |
|      14 |     6 | Finance                   |       0.7142857 |  0.210 | 34.000 |
|      14 |     7 | History                   |       0.2857143 | -0.180 | 38.000 |
|      14 |     8 | Human Resources           |       0.7142857 |  0.170 | 39.000 |
|      14 |     9 | Language & Literature     |       0.7142857 | -0.180 | 40.000 |
|      14 |    10 | Mathematics               |      -0.4285714 | -0.150 | 42.000 |
|      14 |    11 | New Media                 |       1.0000000 |  0.360 | 42.000 |
|      14 |    12 | Physics                   |      -0.4285714 | -0.210 | 45.000 |
|      14 |    13 | Provost Office            |       0.0000000 |  0.080 | 38.000 |
|      14 |    14 | Registrar                 |      -0.2857143 | -0.260 | 39.000 |
|      14 |    15 | Sociology                 |       0.2857143 |  0.000 | 47.000 |
|     110 |     1 | Art                       |      -0.2727273 | -0.640 | 34.000 |
|     110 |     2 | Athletics                 |       1.0000000 | -0.630 | 26.000 |
|     110 |     3 | Chancellor's Office       |      -0.4545455 |  0.300 | 25.000 |
|     110 |     4 | Computer Science          |      -0.0909091 |  0.200 | 34.000 |
|     110 |     5 | Economics                 |      -0.2727273 | -0.900 | 41.000 |
|     110 |     6 | Finance                   |      -0.2727273 |  0.330 | 33.000 |
|     110 |     7 | History                   |      -0.0909091 | -0.790 | 39.000 |
|     110 |     8 | Human Resources           |      -0.4545455 |  0.360 | 40.000 |
|     110 |     9 | Language & Literature     |       0.0909091 | -0.350 | 30.000 |
|     110 |    10 | Mathematics               |      -0.6363636 | -0.970 | 41.000 |
|     110 |    11 | New Media                 |      -1.0000000 |  0.180 | 41.000 |
|     110 |    12 | Physics                   |      -0.2727273 | -0.840 | 41.000 |
|     110 |    13 | Provost Office            |      -0.4545455 | -0.200 | 41.000 |
|     110 |    14 | Registrar                 |      -0.4545455 | -0.270 | 40.000 |
|     110 |    15 | Sociology                 |      -0.2727273 | -0.430 | 30.000 |
|     191 |     1 | Art                       |      -0.1250000 | -0.680 | 30.000 |
|     191 |     2 | Athletics                 |      -0.1250000 | -0.540 | 29.000 |
|     191 |     3 | Chancellor's Office       |       0.5000000 |  0.240 | 27.000 |
|     191 |     4 | Computer Science          |      -0.1250000 | -0.520 | 36.000 |
|     191 |     5 | Economics                 |       0.3750000 | -0.750 | 41.000 |
|     191 |     6 | Finance                   |       1.0000000 |  0.430 | 28.000 |
|     191 |     7 | History                   |      -1.0000000 | -0.570 | 26.000 |
|     191 |     8 | Human Resources           |      -0.5000000 |  0.180 | 29.000 |
|     191 |     9 | Language & Literature     |       0.2500000 | -0.190 | 28.000 |
|     191 |    10 | Mathematics               |       0.3750000 | -0.260 | 33.000 |
|     191 |    11 | New Media                 |       0.6250000 |  0.340 | 34.000 |
|     191 |    12 | Physics                   |      -0.3750000 | -0.640 | 34.000 |
|     191 |    13 | Provost Office            |      -0.1250000 |  0.140 | 29.000 |
|     191 |    14 | Registrar                 |       0.2500000 | -0.450 | 41.000 |
|     191 |    15 | Sociology                 |      -0.1250000 | -0.290 | 30.000 |
|     219 |     1 | Art                       |      -1.0000000 | -0.840 | 30.000 |
|     219 |     2 | Athletics                 |      -1.0000000 | -0.980 | 30.000 |
|     219 |     3 | Chancellor's Office       |      -1.0000000 |  0.000 | 31.000 |
|     219 |     4 | Computer Science          |      -1.0000000 | -0.920 | 38.000 |
|     219 |     5 | Economics                 |      -1.0000000 | -0.940 | 43.000 |
|     219 |     6 | Finance                   |      -1.0000000 | -0.580 | 35.000 |
|     219 |     7 | History                   |      -1.0000000 | -0.820 | 35.000 |
|     219 |     8 | Human Resources           |      -1.0000000 |  0.150 | 39.000 |
|     219 |     9 | Language & Literature     |      -1.0000000 | -0.990 | 26.000 |
|     219 |    10 | Mathematics               |      -1.0000000 | -1.000 | 45.000 |
|     219 |    11 | New Media                 |       0.0000000 |  0.110 | 41.000 |
|     219 |    12 | Physics                   |      -1.0000000 | -1.000 | 45.000 |
|     219 |    13 | Provost Office            |      -1.0000000 | -1.000 | 39.000 |
|     219 |    14 | Registrar                 |       1.0000000 | -0.460 | 36.000 |
|     219 |    15 | Sociology                 |      -1.0000000 |  0.000 | 52.000 |
|     220 |     1 | Art                       |      -0.5555556 | -0.710 | 26.000 |
|     220 |     2 | Athletics                 |      -0.3333333 | -0.710 | 26.000 |
|     220 |     3 | Chancellor's Office       |       0.7777778 |  0.420 | 22.000 |
|     220 |     4 | Computer Science          |       0.1111111 | -0.700 | 27.000 |
|     220 |     5 | Economics                 |      -0.7777778 | -1.000 | 34.000 |
|     220 |     6 | Finance                   |       1.0000000 |  0.870 | 27.000 |
|     220 |     7 | History                   |      -0.1111111 | -0.820 | 29.000 |
|     220 |     8 | Human Resources           |       0.1111111 |  0.700 | 38.000 |
|     220 |     9 | Language & Literature     |      -0.7777778 | -0.840 | 33.000 |
|     220 |    10 | Mathematics               |      -0.3333333 | -0.920 | 34.000 |
|     220 |    11 | New Media                 |      -0.7777778 |  0.870 | 43.000 |
|     220 |    12 | Physics                   |      -0.5555556 | -0.900 | 35.000 |
|     220 |    13 | Provost Office            |      -0.7777778 | -0.620 | 34.000 |
|     220 |    14 | Registrar                 |      -1.0000000 | -0.740 | 36.000 |
|     220 |    15 | Sociology                 |      -0.7777778 | -0.440 | 30.000 |
